sampleId_orig,lat,long,continent,country,city,province,Collection_date,fruit_type,nFlies,nmales,fly_type,sampling_strategy,seq_platform,Range,SRA_Accession,reference
BR-Pal,-27.72,-52.17,South_America,Brazil,Porto Alegre,Brazil,2014-07,NA,50,33,wild,trap,HS2500(PE125),Invasive_AME,SRR10260033,Olazcuaga et al. (2020)
CN-Bei,40,116.35,Asia,China,Beijing,Beijing,2014-06,NA,50,11,wild,trap,HS2500(PE125),NAT,SRR10260017,Olazcuaga et al. (2020)
CN-Lia,42.96,125.09,Asia,China,Liaoyuan city,Jilin,2014-08,NA,50,40,wild,trap,HS2500(PE125),NAT,SRR10260016,Olazcuaga et al. (2020)
CN-Shi,23.7,102.48,Asia,China,Shiping,Yunnan,2014-06;08,NA,50,47,wild,trap,HS2500(PE125),NAT,SRR10260024,Olazcuaga et al. (2020)
DE-Dos,49.45,8.66,Europe,Germany,Dossenheim,Baden-Wurttemberg,2015-08,NA,50,42,wild,trap,HS2500(PE125),Invasive_EUR,SRR10260021,Olazcuaga et al. (2020)
ES-Bar,41.36,1.96,Europe,Spain,Barcelona,Catalonia,2014-07,NA,50,50,wild,trap,HS2500(PE125),Invasive_EUR,SRR10260019,Olazcuaga et al. (2020)
FR-Cor,42.35,9,Europe,France,Lozzi,Corsica,2016-08,NA,50,25,wild,trap,HS2500(PE125),Invasive_EUR,SRR10260018,Olazcuaga et al. (2020)
FR-Lez,43.7,3.83,Europe,France,Montpellier,Occitania,2014-07,NA,100,50,wild,trap,HS2500(PE125),Invasive_EUR,SRR10260015,Olazcuaga et al. (2020)
FR-Par,48.84,2.36,Europe,France,Paris,Ile-de-France,2016-11,NA,100,50,wild,trap,HS2500(PE125),Invasive_EUR,SRR10260014,Olazcuaga et al. (2020)
FR-Run,-21.15,55.64,Africa,France,La Réunion Island,Saint-Denis,2016-09,NA,100,50,wild,trap,HS2500(PE125),Invasive_EUR,SRR10260013,Olazcuaga et al. (2020)
IT-Tre,46.04,11.15,Europe,Italy,Trento,Trentino,2014-09,NA,100,60,wild,trap,HS2500(PE125),Invasive_EUR,SRR10260034,Olazcuaga et al. (2020)
JP-Kan,36.5,136.6,Asia,Japan,Kanazawa,Ishikawa,2019-10,NA,212,183,wild,trap,NS6000(PE150),NAT,SRR24598921,Feng et al. (2024)
JP-Sap2,43.11,141.24,Asia,Japan,Sapporo,NA,2019-08-XX,NA,151,127,wild,trap,NS6000(PE150),NAT,SRR24598920,Feng et al. (2024)
JP-Sap,43.05,141.35,Asia,Japan,Sapporo,Hokkaido,2014-07;2016-09,NA,50,46,wild,trap,HS2500(PE125),NAT,SRR10260023,Olazcuaga et al. (2020)
JP-Tok,35.64,139.37,Asia,Japan,Tokyo,Kanto,2016-06,NA,50,10,wild,trap,HS2500(PE125),NAT,SRR10260022,Olazcuaga et al. (2020)
KY10,37.5683,-84.2867,North_America,USA,Berea,Kentucky,2021-08-25,Pokeweed,40,20,wild,Fruit sample,G4,Invasive_AME,TBD,TBD
KY11,37.5683,-84.2867,North_America,USA,Berea,Kentucky,2020-07-17,Blackberry,26,13,wild,Fruit sample,G4,Invasive_AME,TBD,TBD
KY12,37.5683,-84.2867,North_America,USA,Berea,Kentucky,2020-08-26,Pokeweed,40,20,wild,Fruit sample,G4,Invasive_AME,TBD,TBD
