"LON","LAT","YEAR","MO","DY","HR","RH2M","T2M","PRECTOTCORR","city"
-84.5378,37.9731,2020,9,9,0,60.62,24.86,0,"Lexington"
-84.5378,37.9731,2020,9,9,1,65.14,23.4,0,"Lexington"
-84.5378,37.9731,2020,9,9,2,71.14,21.71,0,"Lexington"
-84.5378,37.9731,2020,9,9,3,74.58,20.64,0,"Lexington"
-84.5378,37.9731,2020,9,9,4,77.66,19.93,0,"Lexington"
-84.5378,37.9731,2020,9,9,5,80.96,19.33,0,"Lexington"
-84.5378,37.9731,2020,9,9,6,84.33,18.8,0.01,"Lexington"
-84.5378,37.9731,2020,9,9,7,87.31,18.34,0.01,"Lexington"
-84.5378,37.9731,2020,9,9,8,88.69,17.98,0.01,"Lexington"
-84.5378,37.9731,2020,9,9,9,89.56,17.53,0,"Lexington"
-84.5378,37.9731,2020,9,9,10,90.28,17.01,0,"Lexington"
-84.5378,37.9731,2020,9,9,11,90.35,16.91,0,"Lexington"
-84.5378,37.9731,2020,9,9,12,78.86,19.24,0,"Lexington"
-84.5378,37.9731,2020,9,9,13,72.49,21.34,0,"Lexington"
-84.5378,37.9731,2020,9,9,14,59.43,25.13,0,"Lexington"
-84.5378,37.9731,2020,9,9,15,55.75,27.19,0,"Lexington"
-84.5378,37.9731,2020,9,9,16,53.21,28.56,0,"Lexington"
-84.5378,37.9731,2020,9,9,17,50.87,29.55,0,"Lexington"
-84.5378,37.9731,2020,9,9,18,48.87,30.23,0,"Lexington"
-84.5378,37.9731,2020,9,9,19,47.47,30.64,0,"Lexington"
-84.5378,37.9731,2020,9,9,20,46.94,30.7,0,"Lexington"
-84.5378,37.9731,2020,9,9,21,47.91,30.38,0,"Lexington"
-84.5378,37.9731,2020,9,9,22,50.62,29.66,0,"Lexington"
-84.5378,37.9731,2020,9,9,23,66.64,27.12,0,"Lexington"
-84.5378,37.9731,2020,9,10,0,71.47,24.83,0,"Lexington"
-84.5378,37.9731,2020,9,10,1,76.45,23.5,0,"Lexington"
-84.5378,37.9731,2020,9,10,2,79.02,22.62,0,"Lexington"
-84.5378,37.9731,2020,9,10,3,81.2,21.98,0,"Lexington"
-84.5378,37.9731,2020,9,10,4,83.94,21.41,0,"Lexington"
-84.5378,37.9731,2020,9,10,5,86.58,20.89,0,"Lexington"
-84.5378,37.9731,2020,9,10,6,89.13,20.38,0,"Lexington"
-84.5378,37.9731,2020,9,10,7,91.41,19.91,0,"Lexington"
-84.5378,37.9731,2020,9,10,8,93.63,19.5,0,"Lexington"
-84.5378,37.9731,2020,9,10,9,95.43,19.2,0,"Lexington"
-84.5378,37.9731,2020,9,10,10,96.87,18.99,0,"Lexington"
-84.5378,37.9731,2020,9,10,11,96.89,19.11,0,"Lexington"
-84.5378,37.9731,2020,9,10,12,88.16,21.21,0,"Lexington"
-84.5378,37.9731,2020,9,10,13,78.49,23.58,0,"Lexington"
-84.5378,37.9731,2020,9,10,14,61.83,27.27,0,"Lexington"
-84.5378,37.9731,2020,9,10,15,56.92,28.69,0,"Lexington"
-84.5378,37.9731,2020,9,10,16,53.99,29.67,0,"Lexington"
-84.5378,37.9731,2020,9,10,17,51.66,30.49,0,"Lexington"
-84.5378,37.9731,2020,9,10,18,49.8,31.06,0.01,"Lexington"
-84.5378,37.9731,2020,9,10,19,48.58,31.29,0.01,"Lexington"
-84.5378,37.9731,2020,9,10,20,48.65,31.12,0.01,"Lexington"
-84.5378,37.9731,2020,9,10,21,50.57,30.55,0.01,"Lexington"
-84.5378,37.9731,2020,9,10,22,54.93,29.62,0,"Lexington"
-84.5378,37.9731,2020,9,10,23,72.48,27.23,0,"Lexington"
-84.5378,37.9731,2020,9,11,0,78.42,25.38,0,"Lexington"
-84.5378,37.9731,2020,9,11,1,80.31,24.57,0,"Lexington"
-84.5378,37.9731,2020,9,11,2,82.33,23.84,0,"Lexington"
-84.5378,37.9731,2020,9,11,3,84.77,23.12,0,"Lexington"
-84.5378,37.9731,2020,9,11,4,86.89,22.57,0.01,"Lexington"
-84.5378,37.9731,2020,9,11,5,89.07,22,0.01,"Lexington"
-84.5378,37.9731,2020,9,11,6,91.23,21.42,0.01,"Lexington"
-84.5378,37.9731,2020,9,11,7,92.6,21.06,0,"Lexington"
-84.5378,37.9731,2020,9,11,8,93.63,20.76,0.01,"Lexington"
-84.5378,37.9731,2020,9,11,9,94.67,20.37,0.02,"Lexington"
-84.5378,37.9731,2020,9,11,10,95.56,19.93,0.01,"Lexington"
-84.5378,37.9731,2020,9,11,11,94.63,19.76,0.01,"Lexington"
-84.5378,37.9731,2020,9,11,12,86.84,20.99,0,"Lexington"
-84.5378,37.9731,2020,9,11,13,78.07,22.77,0,"Lexington"
-84.5378,37.9731,2020,9,11,14,69.46,24.88,0,"Lexington"
-84.5378,37.9731,2020,9,11,15,62.57,26.75,0,"Lexington"
