sampleId	sampleId_orig	N_males	N_females	N_tot	HRKN	stdHK 	CTmin	stdCTmin	sampleId_orig	DateOfRecord
Dsuz_USA_Ken_Ber_wild_2023-07-21	KY4	20	20	40	3691.676	1170.154165	4.68	2.5724097	KY4	2023-07-21
Dsuz_USA_Ken_Ber_wild_2023-10-05	KY5	20	20	40	3625.48	867.7380135	4.17	1.336038922	KY5	2023-10-05
Dsuz_USA_Ken_Ber_wild_2021-07-14	KY9	11	11	22	3136.3	746.79606	5.441667	1.583039637	KY9	2021-07-14
Dsuz_USA_Ken_Ber_wild_2021-08-25	KY10	20	20	40	3277	1062.585019	4.23125	1.488497565	KY10	2021-08-25
Dsuz_USA_Ken_Ber_wild_2020-07-17	KY11	13	13	26	2537.389	464.1849453	4.244444	2.62434363	KY11	2020-07-17
Dsuz_USA_Ken_Ber_wild_2020-08-26	KY12	20	20	40	2525	375.2650492	3.97931	2.690907881	KY12	2020-08-26
Dsuz_USA_Ken_Ber_wild_2022-07-26	KY15	20	20	40	NA	NA	3.774074	0.906214694	KY15	2022-07-26
Dsuz_USA_Ken_Ber_wild_2022-09-06	KY16	20	20	40	3322.619	1090.856016	4.825	1.179596273	KY16	2022-09-06
Dsuz_USA_Ken_Ber_wild_2022-10-16	KY17	10	10	20	3625.48	409.184519	5.234375	1.376798067	KY17	2022-10-16
Dsuz_USA_Ken_Lex_wild_2023-07-19	KY1	20	20	40	3999.372	1040.836981	3.821429	1.144344271	KY1	2023-07-19
Dsuz_USA_Ken_Lex_wild_2023-08-21	KY2	20	20	40	4175.188	981.9366788	4.959677	1.642022095	KY2	2023-08-21
Dsuz_USA_Ken_Lex_wild_2023-10-03	KY3	20	20	40	3438.591	1541.364567	6.027778	1.31802105	KY3	2023-10-03
Dsuz_USA_Ken_Lex_wild_2021-07-24	KY6	10	10	20	3929.542	1397.072498	4.54	1.706116448	KY6	2021-07-24
Dsuz_USA_Ken_Lex_wild_2021-09-05	KY7	20	20	40	3631.407	800.4769857	3.661538	1.363254026	KY7	2021-09-05
Dsuz_USA_Ken_Lex_wild_2021-11-05	KY8	16	16	32	4984.947	1385.519657	4.771429	1.491735474	KY8	2021-11-05
Dsuz_USA_Ken_Lex_wild_2020-09-09	KY13	10	10	20	2710.81	816.9153334	6.510345	1.789921153	KY13	2020-09-09
Dsuz_USA_Ken_Lex_wild_2020-10-17	KY14	10	10	20	2372.075	449.8138297	4.619444	1.958690444	KY14	2020-10-17
Dsuz_USA_Ken_Lex_wild_2022-07-26	KY18	20	20	40	NA	NA	3.086364	0.738915199	KY18	2022-07-26
Dsuz_USA_Ken_Lex_wild_2022-09-09	KY19	20	20	40	6857	1138.689622	3.67619	1.249761882	KY19	2022-09-09
