"Sample","win","windowstart","windowend","variable","stat","value"
"KY10","c(0, 7)","2021-08-18","2021-08-25","T2M","mean",25.8163802083333
"KY11","c(0, 7)","2020-07-10","2020-07-17","T2M","mean",24.5948958333333
"KY12","c(0, 7)","2020-08-19","2020-08-26","T2M","mean",23.7474479166667
"KY13","c(0, 7)","2020-09-02","2020-09-09","T2M","mean",22.6653125
"KY14","c(0, 7)","2020-10-10","2020-10-17","T2M","mean",15.2511197916667
"KY15","c(0, 7)","2022-07-19","2022-07-26","T2M","mean",26.3544010416667
"KY16","c(0, 7)","2022-08-30","2022-09-06","T2M","mean",23.2218229166667
"KY17","c(0, 7)","2022-10-09","2022-10-16","T2M","mean",13.854921875
"KY18","c(0, 7)","2022-07-19","2022-07-26","T2M","mean",26.3544010416667
"KY19","c(0, 7)","2022-09-02","2022-09-09","T2M","mean",22.7027604166667
"KY1","c(0, 7)","2023-07-12","2023-07-19","T2M","mean",25.0089583333333
"KY20","c(0, 7)","2023-07-14","2023-07-21","T2M","mean",24.8891927083333
"KY2","c(0, 7)","2023-08-14","2023-08-21","T2M","mean",23.6791666666667
"KY3","c(0, 7)","2023-09-26","2023-10-03","T2M","mean",21.4102864583333
"KY4","c(0, 7)","2023-07-14","2023-07-21","T2M","mean",24.8891927083333
"KY5","c(0, 7)","2023-09-28","2023-10-05","T2M","mean",21.6577604166667
"KY6","c(0, 7)","2021-07-17","2021-07-24","T2M","mean",22.9463020833333
"KY7","c(0, 7)","2021-08-29","2021-09-05","T2M","mean",21.97921875
"KY8","c(0, 7)","2021-10-29","2021-11-05","T2M","mean",7.49177083333333
"KY9","c(0, 7)","2021-07-07","2021-07-14","T2M","mean",23.6745052083333
"KY10","c(0, 7)","2021-08-18","2021-08-25","T2M","maximum",34.43
"KY11","c(0, 7)","2020-07-10","2020-07-17","T2M","maximum",31.87
"KY12","c(0, 7)","2020-08-19","2020-08-26","T2M","maximum",34.12
"KY13","c(0, 7)","2020-09-02","2020-09-09","T2M","maximum",31.16
"KY14","c(0, 7)","2020-10-10","2020-10-17","T2M","maximum",26.47
"KY15","c(0, 7)","2022-07-19","2022-07-26","T2M","maximum",34.98
"KY16","c(0, 7)","2022-08-30","2022-09-06","T2M","maximum",32.19
"KY17","c(0, 7)","2022-10-09","2022-10-16","T2M","maximum",26.22
"KY18","c(0, 7)","2022-07-19","2022-07-26","T2M","maximum",34.98
"KY19","c(0, 7)","2022-09-02","2022-09-09","T2M","maximum",32.19
"KY1","c(0, 7)","2023-07-12","2023-07-19","T2M","maximum",33.32
"KY20","c(0, 7)","2023-07-14","2023-07-21","T2M","maximum",33.32
"KY2","c(0, 7)","2023-08-14","2023-08-21","T2M","maximum",34.97
"KY3","c(0, 7)","2023-09-26","2023-10-03","T2M","maximum",31.68
"KY4","c(0, 7)","2023-07-14","2023-07-21","T2M","maximum",33.32
"KY5","c(0, 7)","2023-09-28","2023-10-05","T2M","maximum",31.68
"KY6","c(0, 7)","2021-07-17","2021-07-24","T2M","maximum",31.25
"KY7","c(0, 7)","2021-08-29","2021-09-05","T2M","maximum",30.59
"KY8","c(0, 7)","2021-10-29","2021-11-05","T2M","maximum",16.59
"KY9","c(0, 7)","2021-07-07","2021-07-14","T2M","maximum",29.18
"KY10","c(0, 7)","2021-08-18","2021-08-25","T2M","minimum",18.5
"KY11","c(0, 7)","2020-07-10","2020-07-17","T2M","minimum",16.08
"KY12","c(0, 7)","2020-08-19","2020-08-26","T2M","minimum",14.1
"KY13","c(0, 7)","2020-09-02","2020-09-09","T2M","minimum",12.23
"KY14","c(0, 7)","2020-10-10","2020-10-17","T2M","minimum",1.7
"KY15","c(0, 7)","2022-07-19","2022-07-26","T2M","minimum",19.36
"KY16","c(0, 7)","2022-08-30","2022-09-06","T2M","minimum",15.07
"KY17","c(0, 7)","2022-10-09","2022-10-16","T2M","minimum",2.78
"KY18","c(0, 7)","2022-07-19","2022-07-26","T2M","minimum",19.36
"KY19","c(0, 7)","2022-09-02","2022-09-09","T2M","minimum",13.42
"KY1","c(0, 7)","2023-07-12","2023-07-19","T2M","minimum",18.39
"KY20","c(0, 7)","2023-07-14","2023-07-21","T2M","minimum",19.09
