Sample	win	windowstart	windowend	variable	mean	maximum	minimum	prop. max	prop. min	variance	V1	Generation	Time.point	year	site	ctmin	Date	Fruit type	Juliean Date
KY10	c(0, 7)	2021-08-18	2021-08-25	T2M	25.8163802083333	34.43	18.5	0.571428571428571	0	18.347326027388	33	Parental	Second	2021	Berea	4.23125	8/25/2021	Pokeweed	237
KY11	c(0, 7)	2020-07-10	2020-07-17	T2M	24.5948958333333	31.87	16.08	0	0	16.4109274042646	24	Parental	First	2020	Berea	4.244444	7/17/2020	Blackberry	199
KY12	c(0, 7)	2020-08-19	2020-08-26	T2M	23.7474479166667	34.12	14.1	0.428571428571429	0	21.5435146186902	31	Parental	Second	2020	Berea	3.97931	8/26/2020	Pokeweed	239
KY13	c(0, 7)	2020-09-02	2020-09-09	T2M	22.6653125	31.16	12.23	0	0	22.3242082571801	32	Parental	Second	2020	South Farm	6.510345	9/9/2020	Raspberry	253
KY14	c(0, 7)	2020-10-10	2020-10-17	T2M	15.2511197916667	26.47	1.7	0	0.285714285714286	32.2046010926621	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY15	c(0, 7)	2022-07-19	2022-07-26	T2M	26.3544010416667	34.98	19.36	0.714285714285714	0	18.4860121729493	27	Parental	First	2022	Berea	3.774074	7/26/2022	Blackberry	207
KY16	c(0, 7)	2022-08-30	2022-09-06	T2M	23.2218229166667	32.19	15.07	0.142857142857143	0	15.0241230390557	35	Parental	Second	2022	Berea	4.825	9/6/2022	Pokeweed	249
KY17	c(0, 7)	2022-10-09	2022-10-16	T2M	13.854921875	26.22	2.78	0	0.428571428571429	29.4776861557604	42	Parental	Third	2022	Berea	5.234375	10/16/2022	Pokeweed	288
KY18	c(0, 7)	2022-07-19	2022-07-26	T2M	26.3544010416667	34.98	19.36	0.714285714285714	0	18.4860121729493	28	Parental	First	2022	South Farm	3.086364	7/26/2022	Blackberry	207
KY19	c(0, 7)	2022-09-02	2022-09-09	T2M	22.7027604166667	32.19	13.42	0.142857142857143	0	16.4907474515883	36	Parental	Second	2022	South Farm	3.67619	9/9/2022	Raspberry	252
KY1	c(0, 7)	2023-07-12	2023-07-19	T2M	25.0089583333333	33.32	18.39	0.142857142857143	0	13.0738432985205	30	Parental	First	2023	South Farm	3.821429	7/19/2023	Blackberry	200
KY20	c(0, 7)	2023-07-14	2023-07-21	T2M	24.8891927083333	33.32	19.09	0.142857142857143	0	10.3034241507561	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY2	c(0, 7)	2023-08-14	2023-08-21	T2M	23.6791666666667	34.97	13.25	0.285714285714286	0	25.3761570060922	37	Parental	Second	2023	South Farm	4.959677	8/21/2023	Raspberry	233
KY3	c(0, 7)	2023-09-26	2023-10-03	T2M	21.4102864583333	31.68	13.5	0	0	25.8051422153775	45	Parental	Third	2023	South Farm	6.027778	10/3/2023	Raspberry & Pokeweed	276
KY4	c(0, 7)	2023-07-14	2023-07-21	T2M	24.8891927083333	33.32	19.09	0.142857142857143	0	10.3034241507561	29	Parental	First	2023	Berea	4.68	7/21/2023	Blackberry	202
KY5	c(0, 7)	2023-09-28	2023-10-05	T2M	21.6577604166667	31.68	13.5	0	0	24.0096022818755	44	Parental	Third	2023	Berea	4.17	10/5/2023	Pokeweed	278
KY6	c(0, 7)	2021-07-17	2021-07-24	T2M	22.9463020833333	31.25	15.65	0	0	14.5596917727372	26	Parental	First	2021	South Farm	4.54	7/24/2021	Blackberry	205
KY7	c(0, 7)	2021-08-29	2021-09-05	T2M	21.97921875	30.59	12.58	0	0	17.3401106152089	34	Parental	Second	2021	South Farm	3.661538	9/5/2021	Raspberry	248
KY8	c(0, 7)	2021-10-29	2021-11-05	T2M	7.49177083333333	16.59	-3.64	0	0.714285714285714	25.2155206157528	41	Parental	Third	2021	South Farm	4.771429	11/5/2021	Pokeweed	309
KY9	c(0, 7)	2021-07-07	2021-07-14	T2M	23.6745052083333	29.18	17.41	0	0	8.55648800519474	40	Parental	Third	2021	Berea	3.895652	10/6/2021	Pokeweed	279
