Sample	win	windowstart	windowend	variable	mean	maximum	minimum	variance	V1	Generation	Time.point	year	site	ctmin	Date	Fruit type	Juliean Date
KY10	c(15, 30)	2021-07-26	2021-08-10	PRECTOTCORR	3.23640625	301.9	0	321.17050910202	33	Parental	Second	2021	Berea	4.23125	8/25/2021	Pokeweed	237
KY11	c(15, 30)	2020-06-17	2020-07-02	PRECTOTCORR	5.75255208333333	121.04	0	164.143454495329	24	Parental	First	2020	Berea	4.244444	7/17/2020	Blackberry	199
KY12	c(15, 30)	2020-07-27	2020-08-11	PRECTOTCORR	4.17223958333334	158.82	0	162.457939175904	31	Parental	Second	2020	Berea	3.97931	8/26/2020	Pokeweed	239
KY13	c(15, 30)	2020-08-10	2020-08-25	PRECTOTCORR	2.8418359375	66.1	0	36.3978987109887	32	Parental	Second	2020	South Farm	6.510345	9/9/2020	Raspberry	253
KY14	c(15, 30)	2020-09-17	2020-10-02	PRECTOTCORR	1.12696614583333	117.25	0	52.9218803534811	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY15	c(15, 30)	2022-06-26	2022-07-11	PRECTOTCORR	4.3170703125	87.14	0	83.6104168294693	27	Parental	First	2022	Berea	3.774074	7/26/2022	Blackberry	207
KY16	c(15, 30)	2022-08-07	2022-08-22	PRECTOTCORR	2.55915364583334	48.12	0	36.0264460884873	35	Parental	Second	2022	Berea	4.825	9/6/2022	Pokeweed	249
KY17	c(15, 30)	2022-09-16	2022-10-01	PRECTOTCORR	0.229140625	12.06	0	1.05674319793025	42	Parental	Third	2022	Berea	5.234375	10/16/2022	Pokeweed	288
KY18	c(15, 30)	2022-06-26	2022-07-11	PRECTOTCORR	4.3170703125	87.14	0	83.6104168294693	28	Parental	First	2022	South Farm	3.086364	7/26/2022	Blackberry	207
KY19	c(15, 30)	2022-08-10	2022-08-25	PRECTOTCORR	1.89223958333333	48.12	0	32.375797324533	36	Parental	Second	2022	South Farm	3.67619	9/9/2022	Raspberry	252
KY1	c(15, 30)	2023-06-19	2023-07-04	PRECTOTCORR	7.62897135416667	263.75	0	347.518897636726	30	Parental	First	2023	South Farm	3.821429	7/19/2023	Blackberry	200
KY20	c(15, 30)	2023-06-21	2023-07-06	PRECTOTCORR	6.42799479166667	263.75	0	325.333745908708	NA	NA	NA	NA	NA	NA	NA	NA	NA
KY2	c(15, 30)	2023-07-22	2023-08-06	PRECTOTCORR	2.3555078125	84.23	0	47.8242599764712	37	Parental	Second	2023	South Farm	4.959677	8/21/2023	Raspberry	233
KY3	c(15, 30)	2023-09-03	2023-09-18	PRECTOTCORR	0.800403645833334	45.3	0	11.4547133961796	45	Parental	Third	2023	South Farm	6.027778	10/3/2023	Raspberry & Pokeweed	276
KY4	c(15, 30)	2023-06-21	2023-07-06	PRECTOTCORR	6.42799479166667	263.75	0	325.333745908708	29	Parental	First	2023	Berea	4.68	7/21/2023	Blackberry	202
KY5	c(15, 30)	2023-09-05	2023-09-20	PRECTOTCORR	0.800481770833334	45.3	0	11.4545897284809	44	Parental	Third	2023	Berea	4.17	10/5/2023	Pokeweed	278
KY6	c(15, 30)	2021-06-24	2021-07-09	PRECTOTCORR	3.96325520833333	171.3	0	216.898281697494	26	Parental	First	2021	South Farm	4.54	7/24/2021	Blackberry	205
KY7	c(15, 30)	2021-08-06	2021-08-21	PRECTOTCORR	4.87385416666667	155.53	0	125.423755921338	34	Parental	Second	2021	South Farm	3.661538	9/5/2021	Raspberry	248
KY8	c(15, 30)	2021-10-06	2021-10-21	PRECTOTCORR	3.62154947916666	89.69	0	100.707443619451	41	Parental	Third	2021	South Farm	4.771429	11/5/2021	Pokeweed	309
KY9	c(15, 30)	2021-06-14	2021-06-29	PRECTOTCORR	2.02686197916667	147.2	0	113.865929514171	40	Parental	Third	2021	Berea	3.895652	10/6/2021	Pokeweed	279
