pop1	pop2
KY1	US-Vir17-VA1
KY2	US-Vir17-VA1
KY3	US-Vir17-VA1
KY4	US-Vir17-VA1
KY5	US-Vir17-VA1
KY6	US-Vir17-VA1
KY7	US-Vir17-VA1
KY8	US-Vir17-VA1
KY9	US-Vir17-VA1
KY10	US-Vir17-VA1
KY12	US-Vir17-VA1
KY13	US-Vir17-VA1
KY14	US-Vir17-VA1
KY15	US-Vir17-VA1
KY16	US-Vir17-VA1
KY18	US-Vir17-VA1
KY19	US-Vir17-VA1
KY1	US-Vir17-VA2
KY2	US-Vir17-VA2
KY3	US-Vir17-VA2
KY4	US-Vir17-VA2
KY5	US-Vir17-VA2
KY6	US-Vir17-VA2
KY7	US-Vir17-VA2
KY8	US-Vir17-VA2
KY9	US-Vir17-VA2
KY10	US-Vir17-VA2
KY12	US-Vir17-VA2
KY13	US-Vir17-VA2
KY14	US-Vir17-VA2
KY15	US-Vir17-VA2
KY16	US-Vir17-VA2
KY18	US-Vir17-VA2
KY19	US-Vir17-VA2
KY1	US-Vir18-VA3
KY2	US-Vir18-VA3
KY3	US-Vir18-VA3
KY4	US-Vir18-VA3
KY5	US-Vir18-VA3
KY6	US-Vir18-VA3
KY7	US-Vir18-VA3
KY8	US-Vir18-VA3
KY9	US-Vir18-VA3
KY10	US-Vir18-VA3
KY12	US-Vir18-VA3
KY13	US-Vir18-VA3
KY14	US-Vir18-VA3
KY15	US-Vir18-VA3
KY16	US-Vir18-VA3
KY18	US-Vir18-VA3
KY19	US-Vir18-VA3
KY1	US-Vir18-VA4
KY2	US-Vir18-VA4
KY3	US-Vir18-VA4
KY4	US-Vir18-VA4
KY5	US-Vir18-VA4
KY6	US-Vir18-VA4
KY7	US-Vir18-VA4
KY8	US-Vir18-VA4
KY9	US-Vir18-VA4
KY10	US-Vir18-VA4
KY12	US-Vir18-VA4
KY13	US-Vir18-VA4
KY14	US-Vir18-VA4
KY15	US-Vir18-VA4
KY16	US-Vir18-VA4
KY18	US-Vir18-VA4
KY19	US-Vir18-VA4
