GO:0000002	obsolete mitochondrial genome maintenance	108021359
GO:0000003	obsolete reproduction	108012634 108016533
GO:0000009	alpha-1,6-mannosyltransferase activity	108008424 108008424 108010557
GO:0000012	single strand break repair	108013752 108013753 108021822
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	108005067 108007613 108007617 108007636 108008983 108009009 108009279 108010069 108010978 108011177 108014520 108014753 108014759 108017008 108020752 108020753 118876781
GO:0000015	phosphopyruvate hydratase complex	108015263 108015263
GO:0000026	alpha-1,2-mannosyltransferase activity	108005055 108010249 108011833
GO:0000027	ribosomal large subunit assembly	108007432 108009219 108009219 108009319 108010846 108011266 108013527 108014216 108014405 108015313 108018637 108020067 108021301 139352928 139353741
GO:0000028	ribosomal small subunit assembly	108004563 108005493 108007656 108007902 108009083 108009516 108011119 108011573 108015009 108016622 108017469 108018185 108018733 139352174 139353027 139354035 139354670 139355154 139355157
GO:0000030	mannosyltransferase activity	108004850 108006414 108007383 108009819 108021255 108021700
GO:0000033	alpha-1,3-mannosyltransferase activity	108007177
GO:0000035	acyl binding	108012485
GO:0000036	acyl carrier activity	108012485
GO:0000045	autophagosome assembly	108004757 108004843 108006072 108006612 108006975 108007207 108007276 108007994 108008351 108009581 108009746 108012042 108012492 108012492 108013211 108015249 108015511 108015927 108018176 108018209 108018414 108020198 108021826
GO:0000049	tRNA binding	108004924 108004924 108005086 108005627 108006417 108006564 108006730 108006748 108007454 108007506 108008591 108009547 108010027 108010027 108013103 108013729 108013987 108014334 108014466 108015004 108015173 108015312 108015784 108016304 108017624 108017669 108018101 108018204 108018246 108018928 108019152 108021063 108021063 108021540
GO:0000050	urea cycle	108015983 139352878
GO:0000052	citrulline metabolic process	108005295
GO:0000053	argininosuccinate metabolic process	108015983 139352878
GO:0000054	ribosomal subunit export from nucleus	108004754 108009468 108010540 108013229 108016575 108019357
GO:0000055	ribosomal large subunit export from nucleus	108008068 108009219 108010048 108016826 108018111
GO:0000056	ribosomal small subunit export from nucleus	108008068 108009517 108017800 108018111
GO:0000062	fatty-acyl-CoA binding	108005776 108005776 108005810 108005810 108005812 108005812 108005915 108005915 108009866 108013054 108013054 108013679 108015349 108015349 108021105 108021324 108021324 108021535 108021535
GO:0000064	L-ornithine transmembrane transporter activity	108007702 108007996 108008027 108018858 108021340
GO:0000070	mitotic sister chromatid segregation	108007108 108008281 108010825 108012692 108017674
GO:0000076	DNA replication checkpoint signaling	108014003 108017994 108018464 108019388 108020730
GO:0000077	DNA damage checkpoint signaling	108006338 108006705 108006705 108006781 108010833 108015620 108016010 108020117
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	108007485 108009382 108010245 108010810 108011795 108017321 108017606 108018918 108020468 108021431 108021500 139352939 139353993
GO:0000082	G1/S transition of mitotic cell cycle	108010546 108012158 108015153 108017962 108021500
GO:0000086	G2/M transition of mitotic cell cycle	108006539 108007241 108007318
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	108019978
GO:0000103	sulfate assimilation	108005906 108005906
GO:0000110	nucleotide-excision repair factor 1 complex	108008334 108013686 108017008
GO:0000111	nucleotide-excision repair factor 2 complex	108017980
GO:0000112	nucleotide-excision repair factor 3 complex	108013265
GO:0000118	histone deacetylase complex	108005313 108005335 108005466 108008017 108011310 108015321 108017314 108017489 108020889
GO:0000122	negative regulation of transcription by RNA polymerase II	108004853 108005191 108005313 108005313 108005335 108005730 108005772 108005787 108005973 108006230 108006588 108006617 108006775 108006826 108006991 108007106 108007277 108007642 108007700 108008101 108008308 108008530 108008541 108008622 108009343 108009535 108010479 108011491 108012587 108013353 108013393 108013509 108013978 108014544 108014545 108014557 108014618 108014618 108015129 108015234 108015362 108015386 108015401 108015659 108015807 108016862 108016873 108017478 108017727 108017772 108017965 108018108 108019723 108019790 108019987 108020076 108020393 108021055 108021101 108021213 108021244 108021367 108021412 118878281 136116639 136117256 139353270
GO:0000123	histone acetyltransferase complex	108004601 108004615 108014960
GO:0000124	SAGA complex	108005003 108005003 108005530 108008725 108010681 108011705 108013195 108015537 108016254 108016656 108016801 108016864 108016961 108016961 108021352 108021516 108021763 139354930
