sampleId	sampleId_orig	locality	lat	long	continent	country	city	province	min_day	max_day	min_month	max_month	year	jday	exactDate	sr_season	bio_rep	tech_rep	exp_rep	loc_rep	fruit_type	subsample	nFlies	fly_type	library_type	sampling_strategy	seq_platform	set	collector	SRA_Accession	reference	SequencingId
Dsu_US_Ken_Lex_1_2023-07-19	KY1	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	19	19	7	7	2023		2023-07-19		BR-1	TR-1	NA	NA	Blackberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY1
Dsu_US_Ken_Lex_1_2023-08-21	KY2	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	21	21	8	8	2023		2023-08-21		BR-1	TR-1	NA	NA	Raspberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY2
Dsu_US_Ken_Lex_1_2023-10-03	KY3	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	3	3	10	10	2023		2023-10-03		BR-1	TR-1	NA	NA	Pokeweed/Raspberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY3
Dsu_US_Ken_Ber_1_2023-07-21	KY4	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	21	21	7	7	2023		2023-07-21		BR-1	TR-1	NA	NA	Blackberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY4
Dsu_US_Ken_Ber_1_2023-10-05	KY5	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	5	5	10	10	2023		2023-10-05		BR-1	TR-1	NA	NA	Pokeweed	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY5
Dsu_US_Ken_Lex_1_2021-07-24	KY6	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	24	24	7	7	2021		2021-07-24		BR-1	TR-1	NA	NA	Blackberry	X	20	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY6
Dsu_US_Ken_Lex_1_2021-09-05	KY7	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	5	5	9	9	2021		2021-09-05		BR-1	TR-1	NA	NA	Raspberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY7
Dsu_US_Ken_Lex_1_2021-11-05	KY8	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	5	5	11	11	2021		2021-11-05		BR-1	TR-1	NA	NA	Pokeweed	X	32	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY8
Dsu_US_Ken_Ber_1_2021-07-14	KY9	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	14	14	7	7	2021		2021-07-14		BR-1	TR-1	NA	NA	Blackberry	X	22	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY9
Dsu_US_Ken_Ber_1_2021-08-25	KY10	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	25	25	8	8	2021		2021-08-25		BR-1	TR-1	NA	NA	Pokeweed	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY10
Dsu_US_Ken_Ber_1_2020-07-17	KY11	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	17	17	7	7	2020		2020-07-17		BR-1	TR-1	NA	NA	Blackberry	X	26	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY11
Dsu_US_Ken_Ber_1_2020-08-26	KY12	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	26	26	8	8	2020		2020-08-26		BR-1	TR-1	NA	NA	Pokeweed	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY12
Dsu_US_Ken_Lex_1_2020-09-09	KY13	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	9	9	9	9	2020		2020-09-09		BR-1	TR-1	NA	NA	Raspberry	X	20	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY13
Dsu_US_Ken_Lex_1_2020-10-17	KY14	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	17	17	10	10	2020		2020-10-17		BR-1	TR-1	NA	NA	Pokeweed/Raspberry	X	20	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY14
Dsu_US_Ken_Ber_1_2022-07-26	KY15	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	26	26	7	7	2022		2022-07-26		BR-1	TR-1	NA	NA	Blackberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY15
Dsu_US_Ken_Ber_1_2022-09-06	KY16	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	6	6	9	9	2022		2022-09-06		BR-1	TR-1	NA	NA	Pokeweed	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY16
Dsu_US_Ken_Ber_1_2022-10-16	KY17	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	16	16	10	10	2022		2022-10-16		BR-1	TR-1	NA	NA	Pokeweed	X	20	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY17
Dsu_US_Ken_Lex_1_2022-07-26	KY18	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	26	26	7	7	2022		2022-07-26		BR-1	TR-1	NA	NA	Blackberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY18
Dsu_US_Ken_Lex_1_2022-09-09	KY19	Dsu_US_Ken_Lex	37.973056	84.537778	North_America	USA	Lexington	Kentucky	9	9	9	9	2022		2022-09-09		BR-1	TR-1	NA	NA	Raspberry	X	40	wild	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY19
Dsu_US_Ken_Ber_F4_2023-07-21	KY20	Dsu_US_Ken_Ber	37.568333	84.286667	North_America	USA	Berea	Kentucky	21	21	7	7	2023		2023-07-21		BR-1	TR-1	NA	NA	Blackberry	X	40	F4	pooled	Fruit sample	G4	ORCC	Ellie_McCabe	TBD	TBD	KY20
